29.5;26.5;24.64;22.87;25.01;29.5;42.26;54.24;55.99;53.41;51;50.6;50.02;48.15;45.78;45.32;47.92;56.06;61.1;55.64;52.5;47.3;47.19;43.01
39.79;38.43;36.93;35;35.36;38.01;44;51.87;56.99;54.17;52.11;51.98;50.7;50.15;49;48.43;50.97;57.75;63.89;55.83;50.7;44.71;45;41.67
42.93;41.32;39.3;38.2;38.3;40.11;45.2;54.5;58.11;57.11;53.93;53.64;51.93;50.74;48.68;48.06;50.93;57.68;60.23;54;49.12;45.19;44.5;40.43
40.37;37.8;35.9;33.92;32.99;35.65;41.01;50.78;54.27;51.88;47.85;44.99;42.9;41.39;42.06;42.72;45.16;54.58;57.97;50.27;45.65;42.44;42.33;39.57
38.55;37;35.9;34.22;34.36;37.47;42.07;54.87;56.11;54.67;52.85;52.4;51.1;49.32;47.37;47.52;50.14;59.6;63.8;55.89;50.34;45.93;46.23;42.8
45.05;41.52;41.21;38.2;36.71;36.42;38.5;41.72;44.04;48.94;49.96;51;50.23;47.85;45.85;45.51;47.01;55.05;61.6;52.9;48.95;43.88;45.79;40.01
42.67;39.24;38.56;36.48;34.52;33.52;26.91;30.52;35.92;40.45;44.41;46.89;46.4;41.77;39.99;38.39;40.25;50.81;58.41;56.62;49.69;44.58;44.2;41.63
41.35;39.15;37;34.43;33.56;39.52;47.01;58;60.46;59.23;56.01;56.17;54.68;53.72;51.34;52.01;54.41;63.91;68.99;61.21;53.55;49.23;48.45;44.75
41.38;40.41;38.71;36.94;36.7;39.85;45.79;55.67;58.1;56.73;54.04;52.88;51.78;49.78;49.03;49.19;51.54;63.35;67.31;59.82;50.94;46.47;46.08;43
45.1;43;42.14;40.38;41.58;43.89;50.5;61.09;64.68;63.16;57;55.16;53.56;52.3;51.69;52.41;54.59;65.48;77;63.92;53.4;49.43;49.31;46.04
45.09;42.93;41.41;41.28;42.29;45.93;51.06;62.81;69.5;69.04;67.64;66.99;65.46;60.26;56.1;56.61;60.98;80.84;103.4;76.37;61;53.17;50.43;45.38
49.68;46;44.63;45.23;45.02;47.59;53;95.4;119.69;96.15;87.51;82.27;72.61;62.93;58.93;58.93;59.03;78.93;114.99;92.02;67.42;53.59;51.55;45.93
49.68;46.8;44.99;43.2;42.48;42.82;45.68;49.78;54.58;58.04;58.85;59.54;57.58;53.99;50.44;50.18;54.55;69.22;74.75;66.25;56.38;49.61;50.39;46.76
42.93;39.5;39.5;38.54;37.74;36.25;35;38.23;44;46.43;50.05;53.18;52.75;46.82;45;42.43;44.61;59.63;71.28;65.43;57.2;46.43;50.01;43.95
42.86;41.13;39.72;39.22;40.9;42.4;53.36;98;116.63;93.18;82.52;78.32;70.11;64.47;59.18;58.68;76.34;110.68;153.58;104.26;70.44;53.76;52.24;43.93
51.3;45.8;44.8;43.27;45.74;47.2;57;100;110.26;115.6;114.47;102;82.82;76.9;75.88;71.8;80;100;121.39;92.5;77.23;55.43;52.43;44.6
50.63;48.03;43.93;42.69;43.93;45.93;64.66;114.7;109.7;108.47;99.5;97.99;90.01;87;72.15;75.6;83.9;125;175.74;147.67;105;72.86;69.05;53.74
52.89;50.33;47.5;45.5;46.43;48.32;65;116.73;126.8;115.1;107.25;94.28;86.81;85;85;87.8;94.98;122.9;146.06;120;103.94;83.9;70.4;53
52.33;49;44.07;42.9;43.3;47.07;65.6;130;135.3;122.88;114;101.01;94.18;80.43;77.72;79.75;85.6;116.16;165.15;123.8;88.06;65.99;64.15;50.93
51.9;47.2;45.7;45.14;44.6;44.6;46.11;50.11;54;57;59.17;56.35;54.99;51.11;47.76;48.44;54.62;70.67;98.41;70.37;57.51;51;50.84;46.3
44.16;40.59;40.14;38.34;37.12;36.1;34.51;37.06;42.47;46.52;46.33;48.93;48.05;42.68;43.49;41.11;44.67;54.66;64.54;64.13;57.2;48.89;50.77;43.79
43.9;40.72;38.99;38;39;45.11;54.4;108.52;105.05;105.42;109.18;100.01;81.99;76.81;68.04;66.46;74.28;93.99;126.3;92.85;75.83;55.01;52.21;41.93
47.02;43.2;41.33;40.8;41.4;43.46;55.01;84.97;100;103.16;102.42;99.5;92.76;82.25;70.52;67.43;68.17;86.32;106;77.47;59.6;50.07;47.17;40.07
31.67;28.36;21.54;17.16;18.67;26.61;37.39;44.07;50.04;50.51;50.29;49.22;46.28;46.5;45.09;44.7;48.1;53;64.22;58;51.04;47.4;45.55;40
